songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,subtract,46,44,2,4,7,4,0,0,0,3,0,27,27,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.6751797,86.6751797,86.6751797,86.6751797,86.6751797,0.0040977,86.6751797,TRUE,-0.294444444,-0.39537037,1,0,0,ansOne,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,subtract,56,54,2,8,5,9,0,0,0,3,0,28,28,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.575214,90.575214,90.575214,90.575214,90.575214,0.0039485,90.575214,TRUE,-0.102777778,-0.389814815,1,0,0,ansTwo,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,subtract,44,44,0,5,3,1,0,0,0,3,0,29,29,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.2918707,92.2918707,92.2918707,92.2918707,92.2918707,0.0041742,92.2918707,TRUE,-0.094444444,-0.39537037,1,0,0,ansTwo,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,19,10,190,200,202,194,0,0,0,3,0,30,30,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.4752179,93.4752179,93.4752179,93.4752179,93.4752179,0.0045884,93.4752179,TRUE,-0.107407407,-0.398148148,1,0,0,ansTwo,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,add,54,13,67,69,70,74,0,0,0,3,0,31,31,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5252072,94.5252072,94.5252072,94.5252072,94.5252072,0.0042738,94.5252072,TRUE,-0.115740741,-0.398148148,1,0,0,ansTwo,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,add,62,58,120,122,124,127,0,0,0,3,0,32,32,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2419192,97.2419192,97.2419192,97.2419192,97.2419192,0.00433,97.2419192,TRUE,-0.080555556,-0.402777778,1,0,0,ansTwo,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,add,53,21,74,77,75,77,0,0,0,3,0,33,33,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3085799,100.3085799,100.3085799,100.3085799,100.3085799,0.0042441,100.3085799,TRUE,-0.29537037,-0.393518519,1,0,0,ansOne,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,10,14,140,144,142,146,0,0,0,3,0,34,34,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0085389,103.0085389,103.0085389,103.0085389,103.0085389,0.0041899,103.0085389,TRUE,0.103703704,-0.400925926,1,0,0,ansThree,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\instrumentals\Rose Gold (90) (Instrumental) by Cabri x Sub Q Taneous.wav,rose gold,calm,instrumental,1,90,A,multiply,19,5,95,105,103,101,0,0,0,3,0,35,35,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8086262,104.8086262,104.8086262,104.8086262,104.8086262,0.0041979,104.8086262,TRUE,0.099074074,-0.394444444,1,0,0,ansThree,,,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
music\calm\vocals\Brand New Feelings (90) by Land of Legs.wav,brand new feelings,calm,vocals,1,90,A,add,55,16,71,74,76,74,0,1,1,1,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,116.9753667,0.003303,0.025925926,-0.12962963,1,0,0,123.6754103,123.6754103,123.6754103,123.6754103,123.6754103,0.0183165,123.6754103,TRUE,0.084259259,-0.399074074,1,0,0,ansThree,111.9753448,116.9753667,,,,,,,,,,,,,,,1,2022-11-01_20h54.34.424,musicalMathTest,2022.2.0,59.95502174
