songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,1,90,B,multiply,7,5,35,39,43,36,0,2,2,3,0,0,0,84,,,,,,,,,,,,,,,,,,,,,,,,230.8917833,0.0048377,0.511111111,0.108333333,1,0,0,232.6584966,232.6584966,232.6584966,232.6584966,232.6584966,0.0204838,232.6584966,TRUE,-0.097222222,-0.405555556,1,0,0,ansTwo,225.89169,230.8917833,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,1,90,B,add,59,47,106,111,113,108,0,2,2,3,0,1,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.0586874,243.0586874,243.0586874,243.0586874,243.0586874,0.0063955,243.0586874,TRUE,0.085185185,-0.399074074,1,0,0,ansThree,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,1,90,B,multiply,20,10,200,202,206,204,0,2,2,3,0,2,2,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.4755843,252.4755843,252.4755843,252.4755843,252.4755843,0.0064692,252.4755843,TRUE,0.090740741,-0.399074074,1,0,0,ansThree,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,1,90,B,multiply,10,7,70,80,77,80,0,2,2,3,0,3,3,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.7422861,254.7422861,254.7422861,254.7422861,254.7422861,0.0062088,254.7422861,TRUE,-0.299074074,-0.401851852,1,0,0,ansOne,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,1,90,B,multiply,20,5,100,101,104,108,0,2,2,3,0,4,4,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.8757206,258.8757206,258.8757206,258.8757206,258.8757206,0.0069091,258.8757206,TRUE,-0.096296296,-0.4,1,0,0,ansTwo,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,1,90,B,multiply,7,10,70,78,71,80,0,2,2,3,0,5,5,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.7258535,265.7258535,265.7258535,265.7258535,265.7258535,0.0060991,265.7258535,TRUE,-0.306481481,-0.396296296,1,0,0,ansOne,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,1,90,B,subtract,48,47,1,8,10,7,0,2,2,3,0,6,6,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.6760141,272.6760141,272.6760141,272.6760141,272.6760141,0.0063579,272.6760141,TRUE,-0.294444444,-0.405555556,1,0,0,ansOne,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,1,90,B,multiply,10,13,130,137,133,138,0,2,2,3,0,7,7,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.6261151,277.6261151,277.6261151,277.6261151,277.6261151,0.0063248,277.6261151,TRUE,-0.290740741,-0.405555556,1,0,0,ansOne,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,1,90,B,multiply,10,20,200,205,206,208,0,2,2,3,0,8,8,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.1428788,281.1428788,281.1428788,281.1428788,281.1428788,0.0064216,281.1428788,TRUE,-0.293518519,-0.405555556,1,0,0,ansOne,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
music\calm\vocals\Rose Gold (90) by Cabri x Sub Q Taneous.wav,rose gold,calm,vocals,1,90,B,add,46,34,80,90,83,90,0,2,2,3,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.2095349,283.2095349,283.2095349,283.2095349,283.2095349,0.0060669,283.2095349,TRUE,-0.306481481,-0.403703704,1,0,0,ansOne,,,,,,,,,,,,,,,,,2,2022-10-29_19h58.00.993,musicalMathTest,2022.2.4,60.00747693
