songfilename,SongName,Speed,Condition,fileblock,testdurationsec,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
music\active\instrumentals\Soda Pop (90) (Instrumental) by Stony Pony.wav,soda pop,active,instrumental,2,90,subtract,54,21,33,35,37,40,0,1,1,0,0,3,3,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.55180380004458,167.55180380004458,167.55180380004458,167.55180380004458,167.55180380004458,0.016726100002415478,167.55180380004458,True,-0.3074074074074074,-0.40555555555555556,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\instrumentals\Soda Pop (90) (Instrumental) by Stony Pony.wav,soda pop,active,instrumental,2,90,add,56,54,110,116,118,122,0,1,1,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.24575080000795,177.24575080000795,177.24575080000795,177.24575080000795,177.24575080000795,0.013782800058834255,177.24575080000795,True,-0.2833333333333333,-0.40370370370370373,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\instrumentals\Soda Pop (90) (Instrumental) by Stony Pony.wav,soda pop,active,instrumental,2,90,subtract,56,54,2,8,5,9,0,1,1,0,0,5,5,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.27529510005843,184.27529510005843,184.27529510005843,184.27529510005843,184.27529510005843,0.008851799997501075,184.27529510005843,True,-0.2972222222222222,-0.4009259259259259,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\instrumentals\Soda Pop (90) (Instrumental) by Stony Pony.wav,soda pop,active,instrumental,2,90,add,44,26,70,77,79,78,0,1,1,0,0,6,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.70893349999096,187.70893349999096,187.70893349999096,187.70893349999096,187.70893349999096,0.0099804000928998,187.70893349999096,True,-0.29444444444444445,-0.3925925925925926,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\instrumentals\Soda Pop (90) (Instrumental) by Stony Pony.wav,soda pop,active,instrumental,2,90,add,54,53,107,112,115,110,0,1,1,0,0,7,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.96329129999503,193.96329129999503,193.96329129999503,193.96329129999503,193.96329129999503,0.014772700029425323,193.96329129999503,True,-0.09907407407407408,-0.39537037037037037,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\instrumentals\Soda Pop (90) (Instrumental) by Stony Pony.wav,soda pop,active,instrumental,2,90,subtract,44,21,23,28,30,24,0,1,1,0,0,8,8,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.62426000006963,200.62426000006963,200.62426000006963,200.62426000006963,200.62426000006963,0.010472599999047816,200.62426000006963,True,-0.0962962962962963,-0.4046296296296296,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\instrumentals\Soda Pop (90) (Instrumental) by Stony Pony.wav,soda pop,active,instrumental,2,90,multiply,19,10,190,198,200,195,0,1,1,0,0,9,9,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.2565123999957,206.2565123999957,206.2565123999957,206.2565123999957,206.2565123999957,0.00979200005531311,206.2565123999957,True,0.10740740740740741,-0.39814814814814814,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\instrumentals\Soda Pop (90) (Instrumental) by Stony Pony.wav,soda pop,active,instrumental,2,90,multiply,10,6,60,66,70,67,0,1,1,0,0,10,10,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.45666400005575,208.45666400005575,208.45666400005575,208.45666400005575,208.45666400005575,0.01021720003336668,208.45666400005575,True,-0.2962962962962963,-0.40370370370370373,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\instrumentals\Soda Pop (90) (Instrumental) by Stony Pony.wav,soda pop,active,instrumental,2,90,multiply,5,6,30,31,38,37,0,1,1,0,0,11,11,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0221202999819,210.0221202999819,210.0221202999819,210.0221202999819,210.0221202999819,0.009167299955151975,210.0221202999819,True,-0.29907407407407405,-0.4009259259259259,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
music\active\instrumentals\Soda Pop (90) (Instrumental) by Stony Pony.wav,soda pop,active,instrumental,2,90,multiply,5,14,70,77,74,75,0,1,1,0,0,12,12,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.5222400999628,211.5222400999628,211.5222400999628,211.5222400999628,211.5222400999628,0.009615299990400672,211.5222400999628,True,0.09907407407407408,-0.39444444444444443,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_20h41.16.054,musicalMathTest,2022.2.4,60.12871151996619,
