songfilename,SongName,Speed,Condition,fileblock,testdurationsec,songCondFile,CategoryType,NumOne,NumTwo,Correct,Incorrect1,Incorrect2,Incorrect3,musicTypeLoop.thisRepN,musicTypeLoop.thisTrialN,musicTypeLoop.thisN,musicTypeLoop.thisIndex,trialsMath.thisRepN,trialsMath.thisTrialN,trialsMath.thisN,trialsMath.thisIndex,partInfoImage.started,partinfomouse.started,partinfomouse.x,partinfomouse.y,partinfomouse.leftButton,partinfomouse.midButton,partinfomouse.rightButton,partInfoImage_2.started,partinfomouse_2.started,consentBox.started,partinfomouse_2.x,partinfomouse_2.y,partinfomouse_2.leftButton,partinfomouse_2.midButton,partinfomouse_2.rightButton,partinfomouse_2.clicked_name,partInfoImage_3.started,partinfomouse_3.started,partinfomouse_3.x,partinfomouse_3.y,partinfomouse_3.leftButton,partinfomouse_3.midButton,partinfomouse_3.rightButton,partInfoImage_4.started,partinfomouse_4.started,partinfomouse_4.x,partinfomouse_4.y,partinfomouse_4.leftButton,partinfomouse_4.midButton,partinfomouse_4.rightButton,question.started,ansOne.started,ansTwo.started,ansThree.started,ansFour.started,mouseclickResponse.started,debuginfo.started,correctClick,mouseclickResponse.x,mouseclickResponse.y,mouseclickResponse.leftButton,mouseclickResponse.midButton,mouseclickResponse.rightButton,mouseclickResponse.clicked_name,text.started,text.stopped,partInfoImage_5.started,partinfomouse_5.started,partinfomouse_5.x,partinfomouse_5.y,partinfomouse_5.leftButton,partinfomouse_5.midButton,partinfomouse_5.rightButton,partInfoImage_6.started,partinfomouse_6.started,partinfomouse_6.x,partinfomouse_6.y,partinfomouse_6.leftButton,partinfomouse_6.midButton,partinfomouse_6.rightButton,session,date,expName,psychopyVersion,frameRate,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,subtract,57,52,5,9,10,11,0,1,1,5,0,2,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.23284910002258,131.23284910002258,131.23284910002258,131.23284910002258,131.23284910002258,0.006045799935236573,131.23284910002258,True,-0.10185185185185185,-0.4064814814814815,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,multiply,2,8,16,17,24,20,0,1,1,5,0,3,3,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.49951210001018,137.49951210001018,137.49951210001018,137.49951210001018,137.49951210001018,0.006429899949580431,137.49951210001018,True,0.11388888888888889,-0.40555555555555556,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,subtract,48,45,3,7,6,10,0,1,1,5,0,4,4,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.28275380004197,140.28275380004197,140.28275380004197,140.28275380004197,140.28275380004197,0.006191499996930361,140.28275380004197,True,0.10185185185185185,-0.4111111111111111,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,subtract,49,45,4,8,10,7,0,1,1,5,0,5,5,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.26602079998702,142.26602079998702,142.26602079998702,142.26602079998702,142.26602079998702,0.006072100019082427,142.26602079998702,True,0.09537037037037037,-0.4074074074074074,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,add,57,52,109,117,113,117,0,1,1,5,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.03264360001776,144.03264360001776,144.03264360001776,144.03264360001776,144.03264360001776,0.00654420000500977,144.03264360001776,True,-0.10185185185185185,-0.39814814814814814,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,multiply,5,10,50,57,59,51,0,1,1,5,0,7,7,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.01601010002196,148.01601010002196,148.01601010002196,148.01601010002196,148.01601010002196,0.006567499949596822,148.01601010002196,True,-0.10185185185185185,-0.3972222222222222,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,add,52,17,69,70,75,71,0,1,1,5,0,8,8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.149276799988,149.149276799988,149.149276799988,149.149276799988,149.149276799988,0.0059380000457167625,149.149276799988,True,-0.30277777777777776,-0.3972222222222222,1,0,0,ansOne,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,subtract,35,29,6,8,10,14,0,1,1,5,0,9,9,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.21589510003105,153.21589510003105,153.21589510003105,153.21589510003105,153.21589510003105,0.006056999904103577,153.21589510003105,True,0.10277777777777777,-0.4027777777777778,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,add,45,45,90,100,93,100,0,1,1,5,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.8491883999668,156.8491883999668,156.8491883999668,156.8491883999668,156.8491883999668,0.006509999977424741,156.8491883999668,True,-0.08796296296296297,-0.4027777777777778,1,0,0,ansTwo,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
music\active\vocals\Soda Pop (feat. Hot Air Balloon) (90) by Stony Pony.wav,soda pop,active,vocals,1,90,A,multiply,5,2,10,11,18,15,0,1,1,5,0,11,11,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.54914799996186,159.54914799996186,159.54914799996186,159.54914799996186,159.54914799996186,0.005986900068819523,159.54914799996186,True,0.09166666666666666,-0.4009259259259259,1,0,0,ansThree,,,,,,,,,,,,,,,,,001,2022-11-01_17h39.16.323,musicalMathTest,2022.2.4,59.99358066592561,
